GGDENAME,GDEKT,Summe_Flaeche
Habsburg,AG,35032.29582172992
Hagenbuch,ZH,127051.59642130948
Hagneck,BE,40532.43285412085
Hallau,SH,239319.27327716007
Hallwil,AG,78245.25070728404
Halten,SO,65416.84099938759
Hasle (LU),LU,175622.32512754845
Hasle bei Burgdorf,BE,347602.495474639
Hasliberg,BE,198700.44765566883
Hauenstein-Ifenthal,SO,38515.4343224837
Hauptwil-Gottshaus,TG,268244.79267779196
Hausen (AG),AG,160603.5529942115
Hausen am Albis,ZH,348571.3980202765
Haut-Intyamon,FR,160045.66515086172
Haute-Ajoie,JU,204971.34857496043
Haute-Sorne,JU,608726.1592854112
Hautemorges,VD,315407.78630507947
Hauterive (FR),FR,180073.27660454315
Hauterive (NE),NE,98885.67739469808
Hauteville,FR,58418.58897685537
Hedingen,ZH,260492.4911508438
Hefenhofen,TG,181326.5795997199
Heiden,AR,285262.11695243977
Heiligenschwendi,BE,73474.6018714141
Heimberg,BE,376652.94325630384
Heimenhausen,BE,111354.71642621243
Heimiswil,BE,246477.66040625743
Heitenried,FR,111987.67718770508
Hellikon,AG,89384.63105432986
Hellsau,BE,21279.900269552054
Hemishofen,SH,52073.00452295668
Hemmiken,BL,47188.01240992233
Hendschiken,AG,95189.49986968105
Henggart,ZH,124669.74847692777
Henniez,VD,61810.096788773335
Herbetswil,SO,53819.4043722904
Herbligen,BE,50350.91071827035
Herdern,TG,188866.02778607
Hergiswil (NW),NW,279540.0766614537
Hergiswil bei Willisau,LU,201135.74235659605
Herisau,AR,1113491.8828787059
Hermance,GE,61687.23930378605
Hermenches,VD,39298.28267350285
Hermrigen,BE,30725.335126720616
Herrliberg,ZH,441437.55481410894
Hersberg,BL,29327.89381636744
Herznach-Ueken,AG,189073.1167845383
Herzogenbuchsee,BE,525366.315561528
Hettlingen,ZH,222435.43978226604
Hildisrieden,LU,139476.2784529015
Hilterfingen,BE,245364.32496648296
Himmelried,SO,85379.04902473318
Hindelbank,BE,203197.41503750978
Hinwil,ZH,1076133.1101311832
Hirschthal,AG,132428.00117199562
Hittnau,ZH,303168.0049846824
Hitzkirch,LU,470057.32485118037
Hochdorf,LU,532049.4058336251
Hochfelden,ZH,120408.56221310692
Hochwald,SO,117088.49426761694
Hofstetten bei Brienz,BE,63838.45087481304
Hofstetten-Flüh,SO,233333.6079790751
Hohenrain,LU,199839.4293790112
Hohentannen,TG,134949.10658407622
Holderbank (AG),AG,76171.3922087527
Holderbank (SO),SO,60846.62948446837
Holziken,AG,86279.09025105099
Homberg,BE,62542.39430918712
Hombrechtikon,ZH,597570.2603402138
Homburg,TG,331423.6213839779
Honau,LU,30785.836107653442
Horgen,ZH,1166753.276889625
Horn,TG,211671.53717466904
Horrenbach-Buchen,BE,44032.32971540647
Horriwil,SO,76419.26473093503
Horw,LU,573162.6311661012
Hospental,UR,20229.77044223133
Hubersdorf,SO,54690.89375626264
Hundwil,AR,191219.73554154756
Hunzenschwil,AG,284681.5402528759
Huttwil,BE,544984.8500792774
Häfelfingen,BL,41658.23873636249
Hägendorf,SO,390294.1104951576
Häggenschwil,SG,93931.53020423357
Hägglingen,AG,181954.84161418534
Härkingen,SO,267703.3013386337
Häutligen,BE,31907.95285839326
Hérémence,VS,217626.86616525322
Höchstetten,BE,42438.97173957673
Hölstein,BL,194162.96751333625
Höri,ZH,163037.99087634624
Hünenberg,ZG,636167.2394885924
Hüniken,SO,13588.449735375109
Hüntwangen,ZH,102043.27071164681
Hüttikon,ZH,41960.317622051916
Hüttlingen,TG,132717.49339484793
Hüttwilen,TG,278637.6479768209
Icogne,VS,59813.289410602854
Iffwil,BE,46640.76307342494
Ilanz/Glion,GR,421370.0079493386
Illgau,SZ,84838.62297384196
Illnau-Effretikon,ZH,975228.2463284215
Inden,VS,13308.577865548168
Ingenbohl,SZ,489539.69221213413
Inkwil,BE,62948.85306684066
Innerthal,SZ,38102.47361686851
Innertkirchen,BE,138324.375129772
Ins,BE,300342.5397868073
Interlaken,BE,430355.0963035061
Inwil,LU,173077.63863751787
Ipsach,BE,168119.30829374937
Iseltwald,BE,55496.673932539874
Isenthal,UR,34770.97962357427
Islisberg,AG,52649.13598680685
Isone,TI,38779.228207442306
Isérables,VS,58952.60730894967
Itingen,BL,162736.13612282125
Ittigen,BE,492685.7271316489
Jaberg,BE,22048.476642026908
Jaun,FR,73329.35365095038
Jegenstorf,BE,386843.7094943449
Jenaz,GR,109811.03215197072
Jenins,GR,67591.04164190192
Jens,BE,73144.14375648866
Jonen,AG,159664.98576881737
Jongny,VD,82447.6877733451
Jonschwil,SG,386537.46983065124
Jorat-Menthue,VD,147346.39076290381
Jorat-Mézières,VD,231350.5071800551
Jouxtens-Mézery,VD,103235.12503869498
Juriens,VD,33756.071210784554
Jussy,GE,123348.35482405004
Kaiseraugst,AG,268492.8783500064
Kaisten,AG,234334.26297123305
Kallern,AG,31190.67111466213
Kallnach,BE,273919.20453889866
Kaltbrunn,SG,321486.1898561083
Kammersrohr,SO,5659.4869919552275
Kandergrund,BE,94047.62827252029
Kandersteg,BE,184083.38656857362
Kappel (SO),SO,194375.4144457778
Kappel am Albis,ZH,146722.27827410557
Kappelen,BE,179922.6167321296
Kaufdorf,BE,73339.85562542414
Kehrsatz,BE,191193.96162679864
Kemmental,TG,454719.886974315
Kernenried,BE,54685.29035764097
Kerns,OW,411286.9133906263
Kerzers,FR,392419.6966765516
Kesswil,TG,143191.54400136392
Kestenholz,SO,178226.98217186463
Kienberg,SO,60572.92279683441
Kiesen,BE,75858.35488468433
Kilchberg (BL),BL,23188.60829108443
Kilchberg (ZH),ZH,439764.3548227623
Killwangen,AG,111308.30542318337
Kippel,VS,25898.656756046545
Kirchberg (BE),BE,432122.73414953105
Kirchberg (SG),SG,776799.1239291042
Kirchdorf (BE),BE,193733.5966345665
Kirchleerau,AG,79116.63865554275
Kirchlindach,BE,223224.3057094872
Kleinandelfingen,ZH,189061.94198677657
Kleinbösingen,FR,49964.519357825615
Kleinlützel,SO,127303.94694993543
Klingnau,AG,209651.26769135043
Klosters,GR,538840.3728152721
Kloten,ZH,1125785.6506092635
Knonau,ZH,191415.40377216425
Knutwil,LU,178180.85747502168
Koblenz,AG,121878.52692650013
Konolfingen,BE,402097.4363772962
Koppigen,BE,199920.45882312823
Kradolf-Schönenberg,TG,371204.57803447585
Krattigen,BE,92499.27284731207
Krauchthal,BE,227722.14170267954
Kreuzlingen,TG,1239593.3386694016
Kriechenwil,BE,49094.41258880384
Kriegstetten,SO,87605.23265986684
Kriens,LU,1007602.4418324548
Känerkinden,BL,50237.37904406731
Kölliken,AG,332798.9528515561
Köniz,BE,1965291.601355488
Küblis,GR,79241.92507912975
Künten,AG,114524.89662709535
Küsnacht (ZH),ZH,879792.3664948886
Küssnacht (SZ),SZ,861618.9790841647
Küttigen,AG,389374.1583249342
L'Abbaye,VD,143059.9106458572
L'Abergement,VD,27954.154785722447
L'Isle,VD,115271.88290306165
La Baroche,JU,187629.77272331936
La Brillaz,FR,124873.12172917736
La Brévine,NE,125933.72418069709
La Chaux (Cossonay),VD,39470.635562691234
La Chaux-de-Fonds,NE,1651303.0326571837
La Chaux-du-Milieu,NE,62277.51624506013
La Côte-aux-Fées,NE,68239.17296045717
La Ferrière,BE,74460.95293649203
La Grande Béroche,NE,590669.1965079826
La Neuveville,BE,206750.45678522575
La Praz,VD,21495.301146219474
La Punt Chamues-ch,GR,90194.96742752983
La Rippe,VD,76867.43274651795
La Roche,FR,145960.02561236668
La Sagne,NE,122740.60817654648
La Sarraz,VD,132658.99460994007
La Sonnaz,FR,86079.00784342393
La Tour-de-Peilz,VD,389700.27862534724
La Tène,NE,307884.99232163065
La Verrerie,FR,130506.80964552777
Laax,GR,247316.14330493484
Lachen,SZ,417099.88590182306
Laconnex,GE,42098.606280390886
Lajoux (JU),JU,82125.39601446205
Lalden,VS,38521.80360007226
Lamone,TI,120254.27823622481
Lampenberg,BL,56594.287131196994
Lancy,GE,820049.0665916934
Landiswil,BE,96895.04717095193
Landquart,GR,548299.4787748879
Langenbruck,BL,133578.5996048427
Langendorf,SO,215573.90167212207
Langenthal,BE,1207809.3313482837
Langnau am Albis,ZH,372561.9519232824
Langnau im Emmental,BE,860528.9051259003
Langrickenbach,TG,222900.79827116316
Lantsch/Lenz,GR,84810.25461721973
Lauenen,BE,102990.71008936441
Lauerz,SZ,102106.19589612146
Laufen,BL,502613.68056827877
Laufen-Uhwiesen,ZH,132551.83264327268
Laufenburg,AG,261572.36464313226
Laupen,BE,195907.3529739152
Laupersdorf,SO,160545.3107279328
Lauperswil,BE,360992.10871318605
Lausanne,VD,3548869.940978656
Lausen,BL,288413.2777436902
Lauterbrunnen,BE,373039.29864100163
Lauwil,BL,46380.13870936375
Lavertezzo,TI,92812.16239884986
Lavey-Morcles,VD,65847.90927039454
Lavigny,VD,73395.15666443286
Lavizzara,TI,95976.48164865133
Lax,VS,34888.8139328435
Le Bémont (JU),JU,58068.045925760605
Le Cerneux-Péquignot,NE,42545.38086703337
Le Chenit,VD,374348.841315533
Le Châtelard,FR,51744.3142554221
Le Flon,FR,106455.36086667624
Le Grand-Saconnex,GE,532895.847324262
Le Landeron,NE,224573.39554418082
Le Lieu,VD,101752.35660019082
Le Locle,NE,689015.0695523504
Le Mont-sur-Lausanne,VD,500996.22699801624
Le Mouret,FR,246951.9670409292
Le Noirmont,JU,173146.0240844861
Le Pâquier (FR),FR,77897.15666300419
Le Vaud,VD,83534.48007327103
Leibstadt,AG,129827.65556537933
Leimbach (AG),AG,58930.58642075128
Leissigen,BE,92702.48939634174
Lengnau (AG),AG,208802.2539985441
Lengnau (BE),BE,309304.18933521037
Lengwil,TG,241842.47645373954
Lenk,BE,398903.60611737665
Lens,VS,376246.5536866191
Lenzburg,AG,656209.6469873642
Les Bois,JU,131120.55707390438
Les Breuleux,JU,161563.53110753602
Les Clées,VD,20941.0770569939
Les Enfers,JU,23077.173014709344
Les Genevez (JU),JU,78359.05665896942
Les Montets,FR,122197.60480110682
Les Planchettes,NE,31428.203982901337
Les Ponts-de-Martel,NE,115610.19589156186
Les Verrières,NE,105925.25088941111
Leuggern,AG,211157.4152877913
Leuk,VS,378043.4194182874
Leukerbad,VS,175033.33042379338
Leutwil,AG,79421.6743526179
Leuzigen,BE,145621.71466776557
Leysin,VD,255838.22711088913
Leytron,VS,263937.5315906208
Lichtensteig,SG,122412.08404423314
Liddes,VS,75056.12892183507
Liedertswil,BL,21231.183448348977
Liesberg,BL,184183.8317819836
Liestal,BL,956917.6047267616
Ligerz,BE,42219.822211773186
Lignerolle,VD,41176.46918419077
Lignières,NE,81533.23481514827
Lindau,ZH,329461.16678700055
Linden,BE,154386.63374459578
Linescio,TI,12582.717843494851
Locarno,TI,731145.5785882408
Lohn (SH),SH,63790.53974688864
Lohn-Ammannsegg,SO,211714.4219250537
Lommis,TG,157693.50249022146
Lommiswil,SO,113741.84864057793
Lonay,VD,168542.6514882986
Longirod,VD,40130.07709260386
Losone,TI,414953.8226926679
Lostallo,GR,67382.33118081016
Lostorf,SO,322825.5015909336
Lotzwil,BE,207125.9572025225
Lovatens,VD,23923.755176109815
Loveresse,BE,35836.91657838366
Lucens,VD,312586.29695844254
Lufingen,ZH,107439.12505015457
Lugano,TI,2761439.530863287
Luins,VD,40246.75449922993
Lully (FR),FR,69449.66165831762
Lully (VD),VD,54591.58431427277
Lumino,TI,98169.84777481639
Lumnezia,GR,269771.22631371586
Lungern,OW,170297.95338754755
Lupfig,AG,303322.0790600427
Lupsingen,BL,108386.80493927533
Lussery-Villars,VD,31543.145592669338
Lussy-sur-Morges,VD,42605.316583859014
Luterbach,SO,223276.20525371967
Luthern,LU,181990.89213407622
Lutry,VD,501654.0159514772
Lutzenberg,AR,96631.83280848507
Luzein,GR,221395.92822128267
Luzern,LU,2866967.7611031285
Lyss,BE,880785.3366225553
Lyssach,BE,172388.56935200957
Läufelfingen,BL,156735.7194870203
Löhningen,SH,126293.5424696233
Lüscherz,BE,54735.30220651459
Lüsslingen-Nennigkofen,SO,123919.03844375143
Lüterkofen-Ichertswil,SO,82951.54640057475
Lüterswil-Gächliwil,SO,48438.786745713754
Lütisburg,SG,226026.56285384274
Lütschental,BE,23342.630041915516
Lützelflüh,BE,495033.86153954756
Madiswil,BE,393502.54620874114
Madulain,GR,35063.74615804375
Magden,AG,245516.63392961823
Maggia,TI,242203.39657706223
Magliaso,TI,115412.35763033404
Maienfeld,GR,239124.3191998102
Maisprach,BL,104679.5708795606
Malans,GR,175116.37711809645
Malters,LU,435869.1485909959
Mammern,TG,89278.8002050781
Mandach,AG,39176.500789971076
Manno,TI,132415.97397397144
Maracon,VD,50733.98432209796
Marbach (SG),SG,237446.19777514998
Marchissy,VD,31178.74909827251
Marly,FR,400018.45505479554
Marsens,FR,142229.121305088
Marthalen,ZH,272639.93341462454
Martigny,VS,1049857.2841344906
Martigny-Combe,VS,166457.92357349754
Maschwanden,ZH,91427.9056959571
Masein,GR,31502.863441695983
Massagno,TI,150734.90952751442
Massongex,VS,91039.6241299222
Massonnens,FR,48223.20480806439
Mathod,VD,52047.8853990034
Matran,FR,137392.8604546018
Matten bei Interlaken,BE,244565.78912597636
Mattstetten,BE,51569.09502247908
Matzendorf,SO,135203.7762786355
Matzingen,TG,268092.8792152183
Mauborget,VD,19042.508542678486
Mauensee,LU,90598.09813709928
Maur,ZH,614838.6848923777
Mauraz,VD,5785.642436747482
Medel (Lucmagn),GR,46045.16313926394
Meggen,LU,391246.2539206012
Meienried,BE,9983.35226533236
Meierskappel,LU,121793.99120655356
Meikirch,BE,202323.01303446208
Meilen,ZH,775805.4025469023
Meinier,GE,115370.30723400933
Meinisberg,BE,109047.32240227326
Meiringen,BE,407960.90945363004
Meisterschwanden,AG,228767.57042428025
Melchnau,BE,184376.43827099528
Melide,TI,80650.01883122064
Mellikon,AG,25367.15648158278
Mellingen,AG,282058.3028295367
Mels,SG,848541.7705648849
Meltingen,SO,56191.880035628026
Mendrisio,TI,1199888.2141479647
Menziken,AG,437998.5396012138
Menzingen,ZG,432023.05310740345
Menznau,LU,364063.3231263954
Merenschwand,AG,284533.4816318823
Mergoscia,TI,47885.32457342466
Merishausen,SH,78420.13071994185
Mervelier,JU,58792.7758468919
Merzligen,BE,40552.61821077476
Mesocco,GR,178103.54506650392
Messen,SO,168794.9675666493
Mettauertal,AG,215873.0114563922
Mettembert,JU,11977.665554656916
Mettmenstetten,ZH,459310.20505923673
Metzerlen-Mariastein,SO,103017.81251032237
Mex (VD),VD,47609.45758767302
Meyriez,FR,47838.122877667025
Meyrin,GE,952482.0771096395
Mezzovico-Vira,TI,163591.5529766428
Mies,VD,133116.23730477295
Miglieglia,TI,23644.746896996578
Milvignes,NE,488873.43805053603
Minusio,TI,369527.97610704845
Mirchel,BE,59761.06164039854
Misery-Courtion,FR,132510.44767972885
Missy,VD,41796.558317434785
Moiry,VD,31943.459938598953
Mollens (VD),VD,42395.94800407121
Molondin,VD,39859.731997190334
Mont-Noble,VS,154615.57102092227
Mont-Tramelan,BE,21893.313884357813
Mont-Vully,FR,342539.8421742299
Mont-la-Ville,VD,44577.54188382933
Mont-sur-Rolle,VD,130268.16374318251
Montagny (FR),FR,188274.75563125077
Montagny-près-Yverdon,VD,118971.27098078966
Montanaire,VD,307715.7411982264
Montcherand,VD,40680.89811600317
Monteceneri,TI,304892.53749817965
Montet (Glâne),FR,29155.202103463445
Montfaucon,JU,94925.24362401542
Monthey,VS,696755.6951253483
Montilliez,VD,144443.52014316097
Montpreveyres,VD,44155.52539940489
Montreux,VD,1040982.5776444958
Montricher,VD,81363.12596508481
Moosleerau,AG,76673.35373877143
Moosseedorf,BE,276057.3075293374
Morbio Inferiore,TI,231426.09167129907
Morcote,TI,83881.04837575016
Morges,VD,487267.1156346625
Morlon,FR,38626.53211007905
Morrens (VD),VD,65526.908703878275
Morschach,SZ,137841.69997536918
Mosnang,SG,269801.3979100804
Moudon,VD,385380.6158751044
Moutier,BE,486430.1001214914
Movelier,JU,51786.383773801375
Muhen,AG,289331.92965679005
Mumpf,AG,85863.86366763075
Muntelier,FR,73878.59321488997
Muntogna da Schons,GR,51440.46373000346
Muolen,SG,121740.20393739147
Muotathal,SZ,450517.4759885373
Muralto,TI,130274.50020221698
Murgenthal,AG,287311.8898945808
Muri (AG),AG,513402.2170477243
Muri bei Bern,BE,710621.1123922691
Muriaux,JU,79383.63237848485
Murten,FR,680590.7065713349
Mutrux,VD,12495.369381456507
Muttenz,BL,1187158.5500528547
Muzzano,TI,94045.47305536695
Mägenwil,AG,189739.63714272834
Männedorf,ZH,528826.2841729281
Märstetten,TG,346668.95184646186
Ménières,FR,34950.26855360747
Mézières (FR),FR,93661.68503736724
Möhlin,AG,780853.013266272
Mönchaltorf,ZH,284951.99035204976
Mönthal,AG,51989.67694523836
Mörel-Filet,VS,63614.150054966434
Mörigen,BE,77593.32247905493
Möriken-Wildegg,AG,318995.67193926923
Mörschwil,SG,245509.03266989006
Mühlau,AG,95560.18530746235
Mühleberg,BE,335600.0113967969
Müllheim,TG,222939.30171189015
Mülligen,AG,67591.38317622384
Mümliswil-Ramiswil,SO,259238.51683077693
Münchenbuchsee,BE,522848.7434918206
Münchenstein,BL,805921.2486455531
Münchenwiler,BE,47046.282608361296
Münchwilen (AG),AG,80090.19729376346
Münchwilen (TG),TG,399832.97160312656
Münsingen,BE,690939.1697050451
Münsterlingen,TG,263156.6302780808
Müntschemier,BE,134573.77528053898
Naters,VS,480318.81668349676
Nebikon,LU,220752.98032733606
Neckertal,SG,682490.0293338778
Neerach,ZH,205828.83393575432
Neftenbach,ZH,378955.5984623273
Neggio,TI,26508.958632864757
Nendaz,VS,714717.003775377
Nenzlingen,BL,47091.15791989483
Nesslau,SG,467448.4598799557
Neuchâtel,NE,1765386.1369877483
Neuendorf,SO,374430.85171056614
Neuenegg,BE,392484.98781676707
Neuenhof,AG,274185.1296846207
Neuenkirch,LU,386148.9836769635
Neuhausen am Rheinfall,SH,454182.3937807663
Neuheim,ZG,206146.3472035048
Neunforn,TG,164848.4380154992
Neunkirch,SH,187416.21922747995
Neyruz (FR),FR,138425.80852890675
Nidau,BE,263441.9809543016
Niederbipp,BE,510228.734396882
Niederbuchsiten,SO,100229.90049145612
Niederbüren,SG,168256.82224585165
Niederdorf,BL,148705.26307662087
Niedergesteln,VS,67725.94283429506
Niederglatt,ZH,228281.25953921085
Niedergösgen,SO,271854.52385017165
Niederhasli,ZH,446036.34555600607
Niederhelfenschwil,SG,369580.18655570236
Niederhünigen,BE,58498.4323087126
Niederlenz,AG,287491.7516584258
Niedermuhlern,BE,74374.71021504563
Niederried bei Interlaken,BE,33808.21845598064
Niederrohrdorf,AG,173666.0532930837
Niederweningen,ZH,174416.4275650242
Niederwil (AG),AG,192938.94530522855
Niederönz,BE,147831.12181009303
Noble-Contrée,VS,250990.70104397062
Nods,BE,89666.25818755229
Nottwil,LU,236395.2175558959
Novaggio,TI,58417.27625537589
Novalles,VD,15179.728062578592
Novazzano,TI,218232.37519038946
Noville,VD,102346.61756477157
Nuglar-St. Pantaleon,SO,117110.89460808858
Nunningen,SO,169229.08858325428
Nusshof,BL,27000.91086572721
Nuvilly,FR,35230.1524295434
Nyon,VD,656853.7992293813
Nürensdorf,ZH,324761.82562238723
Oberbalm,BE,123383.72486523853
Oberbipp,BE,182003.09583591067
Oberbuchsiten,SO,166330.43324880983
Oberburg,BE,260989.01029311857
Oberbüren,SG,378926.3570511261
Oberdiessbach,BE,333480.8563833259
Oberdorf (BL),BL,194376.1148597003
Oberdorf (NW),NW,177481.75868192472
Oberdorf (SO),SO,133619.17803085851
Oberegg,AI,211467.70327529364
Oberembrach,ZH,97957.4539569695
Oberems,VS,20129.30327342899
Oberengstringen,ZH,217925.15521272089
Oberentfelden,AG,463363.96072041785
Obergerlafingen,SO,107890.35320992552
Oberglatt,ZH,250681.66086287794
Obergoms,VS,127091.07431991537
Obergösgen,SO,136754.06660648505
Oberhallau,SH,59555.45332517786
Oberhof,AG,59772.26089344708
Oberhofen am Thunersee,BE,177448.1444314204
Oberhünigen,BE,39310.10563546704
Oberiberg,SZ,157213.40924607273
Oberkirch,LU,258227.72941985817
Oberkulm,AG,230094.55388293424
Oberlangenegg,BE,72068.12376366857
Oberlunkhofen,AG,124848.74285658498
Obermumpf,AG,78507.97713975965
Oberried am Brienzersee,BE,46688.79391603677
Oberrieden,ZH,237480.3998749503
Oberriet (SG),SG,915417.9748704322
Oberrohrdorf,AG,221090.7174591824
Oberrüti,AG,130993.31295497534
Obersaxen Mundaun,GR,217004.0856657529
Obersiggenthal,AG,368617.0904210241
Oberthal,BE,112926.92958170657
Oberuzwil,SG,371817.0010290386
Oberweningen,ZH,102070.26082012405
Oberwil (BL),BL,604623.3812903849
Oberwil bei Büren,BE,97496.58978139875
Oberwil im Simmental,BE,100063.77045038667
Oberwil-Lieli,AG,189626.72489369658
Oberägeri,ZG,481228.86102332926
Obfelden,ZH,362555.5280997675
Ochlenberg,BE,120273.73319904653
Oekingen,SO,62062.92016511247
Oensingen,SO,525123.0994825838
Oeschenbach,BE,47265.230095056235
Oeschgen,AG,91862.78889124304
Oetwil am See,ZH,323549.13169524795
Oetwil an der Limmat,ZH,115528.16783490125
Oftringen,AG,821161.6704573324
Ogens,VD,33410.426131716355
Ollon,VD,729177.2724868235
Olsberg,AG,38442.644047887974
Olten,SO,992479.1276601517
Oltingen,BL,72626.65870930736
Onex,GE,329233.12592235394
Onnens (VD),VD,113525.68333343975
Onsernone,TI,130738.99940855635
Opfikon,ZH,696762.4423661411
Oppens,VD,25746.60567241104
Oppligen,BE,58633.19655203728
Orbe,VD,389283.19620993495
Orges,VD,34765.61479471607
Origlio,TI,96508.8724384383
Ormalingen,BL,209079.80215599664
Ormont-Dessous,VD,234500.045257089
Ormont-Dessus,VD,269846.0381032562
Orny,VD,33606.95851367088
Oron,VD,458961.3235585987
Orpund,BE,157599.58441498748
Orselina,TI,93846.94312750487
Orsières,VS,383722.6151485267
Orvin,BE,127351.59821931891
Orzens,VD,33241.20036711169
Ossingen,ZH,155147.5219601679
Ostermundigen,BE,554754.1988833292
Otelfingen,ZH,257419.1658989161
Othmarsingen,AG,168292.986641736
Ottenbach,ZH,228451.17202416863
Oulens-sous-Echallens,VD,47139.12433214932
Pailly,VD,59270.31776192304
Paradiso,TI,113165.9658490108
Paudex,VD,65009.39437978766
Payerne,VD,562856.290671001
Penthalaz,VD,175774.39924059127
Penthaz,VD,97438.45937539474
Penthéréaz,VD,40668.99149680258
Perly-Certoux,GE,110080.62428917283
Perrefitte,BE,44728.409659562
Perroy,VD,108007.01749947104
Personico,TI,32444.076007660453
Petit-Val,BE,71186.49542075708
Pfaffnau,LU,251564.35642422584
Pfeffingen,BL,160330.60757459461
Pfungen,ZH,207578.73148288354
Pfyn,TG,200924.64054826045
Pfäfers,SG,261052.33555576572
Pfäffikon,ZH,773153.221599035
Pierrafortscha,FR,23403.45924277423
Pieterlen,BE,252608.37899210316
Plaffeien,FR,366970.1603569794
Plan-les-Ouates,GE,579978.251903393
Plasselb,FR,91134.26398699165
Plateau de Diesse,BE,202690.77400491684
Pleigne,JU,50580.89944375029
Pohlern,BE,29806.177340019556
Poliez-Pittet,VD,58575.4679393852
Pollegio,TI,53538.85412473949
Pompaples,VD,54259.41352967386
Pomy,VD,75240.68785189855
Pont-en-Ogoz,FR,154657.02446114496
Pont-la-Ville,FR,59213.040680039274
Ponte Capriasca,TI,94575.03257301103
Ponthaux,FR,55382.606469996776
Pontresina,GR,188720.16934289873
Porrentruy,JU,543142.413596191
Port,BE,184889.04952284906
Port-Valais,VS,197909.24642142587
Porza,TI,127812.21687981128
Poschiavo,GR,315197.8900077951
Prangins,VD,220168.4375918394
Prato (Leventina),TI,47748.88068814066
Pratteln,BL,1102556.9621283698
Pregny-Chambésy,GE,227766.32892640002
Premier,VD,24563.359906837002
Presinge,GE,46000.931128043216
Prez,FR,171244.2986049912
Prilly,VD,335211.6422234497
Provence,VD,53601.12257640752
Préverenges,VD,186302.89508146848
Prévondavaux,FR,10039.544775450828
Prévonloup,VD,18818.477685250604
Puidoux,VD,274407.5526052242
Pully,VD,606269.7199574368
Puplinge,GE,93391.80577581876
Pura,TI,103590.78148192509
Péry-La Heutte,BE,147291.8144919899
Quarten,SG,384705.73934883456
Quinto,TI,164792.17770934684
Radelfingen,BE,167768.0008142619
Rafz,ZH,277943.0306378795
Rain,LU,152629.14931738813
Ramlinsburg,BL,63238.56302498496
Ramsen,SH,162081.6254408852
Rances,VD,51922.208281269726
Randa,VS,29153.30842403299
Raperswilen,TG,101815.94553005313
Rapperswil (BE),BE,326982.6693670687
Rapperswil-Jona,SG,1420260.514549445
Raron,VS,129612.53816175999
Realp,UR,16089.744190450972
Rebstein,SG,354598.904760011
Rebévelier,BE,6469.488811119205
Recherswil,SO,140730.1907472728
Rechthalten,FR,101628.73400574499
Reconvilier,BE,160985.85685529013
Regensberg,ZH,31539.33775503581
Regensdorf,ZH,1048284.1838779158
Rehetobel,AR,148520.60705980353
Reichenbach im Kandertal,BE,429749.51034339506
Reichenburg,SZ,317558.01450115483
Reiden,LU,529219.0560798384
Reigoldswil,BL,162094.50219020247
Reinach (AG),AG,612831.1338756813
Reinach (BL),BL,881638.1805877644
Reisiswil,BE,28347.820094577037
Reitnau,AG,170782.05585585372
Remaufens,FR,67152.14988454871
Remetschwil,AG,137333.0926259213
Remigen,AG,96071.91457846957
Renan (BE),BE,84797.61136444095
Renens (VD),VD,586660.1928399287
Rennaz,VD,72403.34796604443
Reute (AR),AR,73392.28946889509
Reutigen,BE,93602.39534043631
Rheinau,ZH,151391.18135857605
Rheineck,SG,225745.5348502337
Rheinfelden,AG,541010.4829672695
Rheinwald,GR,81849.7671837535
Rhäzüns,GR,84499.10501323876
Riaz,FR,160257.51302348476
Richterswil,ZH,673710.4927354954
Rickenbach (BL),BL,59501.60478705498
Rickenbach (LU),LU,237852.4881492952
Rickenbach (SO),SO,105631.60444276013
Rickenbach (TG),TG,157103.25885083037
Rickenbach (ZH),ZH,199667.79046612454
Riddes,VS,312446.59197296965
Ried bei Kerzers,FR,299377.49937838735
Ried-Brig,VS,132779.30106123677
Riederalp,VS,98864.5057737079
Riedholz,SO,173392.7941914356
Riehen,BS,859267.928452704
Riemenstalden,SZ,18060.535648233104
Rifferswil,ZH,133043.1685354434
Riggisberg,BE,315731.87789699924
Ringgenberg (BE),BE,197646.46849518464
Riniken,AG,87912.56504251737
Risch,ZG,506634.53744579357
Riva San Vitale,TI,190886.04056116668
Rivaz,VD,20124.955337326985
Riviera,TI,288935.73931691743
Roche (VD),VD,132001.42298931678
Rochefort,NE,109067.10854662566
Roches (BE),BE,23276.220791988933
Rodersdorf,SO,102055.84964353607
Roggenburg,BL,51546.64220389657
Roggliswil,LU,74483.28037782863
Roggwil (BE),BE,357846.0323289071
Roggwil (TG),TG,354160.7098496084
Rohrbach,BE,160999.25520290717
Rohrbachgraben,BE,69020.96245871468
Rolle,VD,280637.84027106455
Romainmôtier-Envy,VD,41927.51428268647
Romanel-sur-Lausanne,VD,181031.2630941968
Romanel-sur-Morges,VD,50960.1478433046
Romanshorn,TG,817044.6215867052
Romont (BE),BE,22341.915693652703
Romont (FR),FR,322592.4526654867
Romoos,LU,98345.6523065853
Ronco sopra Ascona,TI,123696.79614851219
Rongellen,GR,6735.514818728276
Root,LU,283905.84459069907
Ropraz,VD,49823.179736200815
Rorbas,ZH,140305.68466240118
Rorschach,SG,444220.18512295175
Rorschacherberg,SG,318891.123211689
Rossa,GR,24843.553771866274
Rossemaison,JU,52796.417759567594
Rossenges,VD,8829.565883273699
Rossinière,VD,79712.34416369667
