GGDENAME,GDEKT,Summe_Flaeche
Biberstein,AG,113924.09310005988
Bichelsee-Balterswil,TG,303674.72798351996
Biel-Benken,BL,250313.2062552364
Biel/Bienne,BE,2307211.1304847747
Biezwil,SO,48176.00741618729
Biglen,BE,152347.58102468777
Billens-Hennens,FR,59202.67097094256
Binn,VS,19303.199868353724
Binningen,BL,638397.85003036
Bioggio,TI,293402.2814013336
Bioley-Magnoux,VD,32427.752688423305
Birmensdorf (ZH),ZH,406133.42063637474
Birmenstorf (AG),AG,214143.7296414207
Birr,AG,196053.07648276037
Birrhard,AG,70885.54737563184
Birrwil,AG,113433.64286849683
Birsfelden,BL,473625.8778316967
Birwinken,TG,233538.35046703366
Bischofszell,TG,561727.3520333589
Bissone,TI,57771.83836245139
Bister,VS,3945.4616505370254
Bitsch,VS,62013.86681028396
Bière,VD,147692.00975965307
Blatten,VS,24139.595022825983
Blauen,BL,71809.92386022599
Bleienbach,BE,100454.55016444149
Blenio,TI,271064.136191918
Blonay - Saint-Légier,VD,719389.2096108067
Blumenstein,BE,125429.31493358887
Bodio,TI,81640.50295221199
Bofflens,VD,28444.722363663004
Bogis-Bossey,VD,54406.9024488014
Bois-d'Amont,FR,154946.6877742435
Bolken,SO,46493.963479571335
Bolligen,BE,384896.1056280757
Boltigen,BE,175414.27744792387
Bonaduz,GR,163678.58803205064
Boncourt,JU,171348.1774147689
Bonfol,JU,92868.51963771289
Boningen,SO,62182.517326619374
Boniswil,AG,119454.61054458485
Bonstetten,ZH,280890.1396559019
Bonvillars,VD,52523.241030289515
Boppelsen,ZH,93749.30864720736
Borex,VD,57372.12315716028
Bosco/Gurin,TI,15738.04097368291
Bossonnens,FR,87361.8376614167
Boswil,AG,192195.05454649264
Bottens,VD,81017.19917087222
Bottenwil,AG,80850.19040858238
Botterens,FR,42540.90911383699
Bottighofen,TG,151631.72386755957
Bottmingen,BL,319898.5045869027
Boudry,NE,266928.51411587134
Bougy-Villars,VD,45354.71271307846
Boulens,VD,25951.384255830075
